SubstitutionID,Category,Original_ItemID,Original_ItemName,Substitute_ID,SubstituteName,Priority,RAG_Justification
SUB-001,Protein,MENU-006,Fried Chicken,MENU-002,Hamburger Steak,,"For another hearty, classic comfort food, you might love our Hamburger Steak."
SUB-001,Protein,MENU-006,Fried Chicken,MENU-016,Fried Fish,,In the mood for something crispy and delicious? Our Fried Fish is a fantastic choice!
SUB-002,Protein,MENU-002,Hamburger Steak,MENU-006,Fried Chicken,,"If you're looking for a classic, you can't go wrong with our famous Fried Chicken!"
SUB-002,Protein,MENU-002,Hamburger Steak,MENU-016,Fried Fish,,Another great savory option is our crispy Fried Fish meal!
SUB-003,Protein,MENU-016,Fried Fish,MENU-006,Fried Chicken,,You can't go wrong with our famous Fried Chicken – a true classic!
SUB-004,Protein,MENU-016,Fried Fish,MENU-002,Hamburger Steak,,"For another hearty, classic comfort food, you might love our Hamburger Steak."
SUB-005,Protein,MENU-001,Hamburger,MENU-005,Chicken Burger,,"Based on your search, you might also love our in-house ground Chicken Burger!"
SUB-006,Protein,MENU-005,Chicken Burger,MENU-001,Hamburger,,Our signature Classic Beef Burger is also a fantastic choice!
SUB-007,Protein,MENU-008,Bacon,MENU-009,Sausage,,Our classic sausage patties are also a delicious and savory breakfast choice.
SUB-007,Protein,MENU-008,Bacon,MENU-010	Turkey Sausage,,,"Looking for a lighter option? Our turkey sausage is a perfect, flavorful alternative."
SUB-007,Protein,MENU-008,Bacon,MENU-011,Side of Eggs,,A side of eggs is also a great way to start the day!
SUB-007,Protein,MENU-008,Bacon,MENU-012,French Toast,,Or perhaps something sweet and savory? Our French Toast is amazing!
SUB-008,Protein,MENU-009,Sausage,MENU-008,Bacon,,Our classic crispy bacon is also a delicious and savory breakfast choice.
SUB-008,Protein,MENU-009,Sausage,MENU-010,Turkey Sausage,,"Looking for a lighter option? Our turkey sausage is a perfect, flavorful alternative."
SUB-008,Protein,MENU-009,Sausage,MENU-011,Side of Eggs,,A side of eggs is also a great way to start the day!
SUB-008,Protein,MENU-009,Sausage,MENU-012,French Toast,,Or perhaps something sweet and savory? Our French Toast is amazing!
SUB-009,Protein,MENU-010,Turkey Sausage,MENU-008,Bacon,,Our classic crispy bacon is also a delicious and savory breakfast choice.
SUB-009,Protein,MENU-010,Turkey Sausage,MENU-009,Sausage,,Our classic sausage patties are also a delicious and savory breakfast choice.
